fccs_id,urbanski_flame_smold_wf,urbanski_residual,urbanski_duff,urbanski_flame_smold_rx
1,9,3,10,5,
2,9,3,10,5,
3,9,3,10,5,
4,9,3,10,5,
5,9,3,10,5,
6,9,3,10,5,
7,9,3,10,5,
8,9,3,10,5,
9,9,3,10,5,
10,9,3,10,5,
11,9,3,10,5,
12,9,3,10,5,
13,9,3,10,5,
14,9,3,10,5,
15,9,3,10,5,
16,9,3,10,5,
17,9,3,10,5,
18,9,3,10,5,
19,9,3,10,5,
20,9,3,10,5,
21,9,3,10,5,
22,9,3,10,5,
23,9,3,10,5,
24,9,3,10,5,
25,9,3,10,8,
26,9,3,10,5,
27,9,3,10,5,
28,4,3,10,4,
29,9,3,10,5,
30,7,3,10,7,
32,9,3,10,5,
33,9,3,10,8,
34,9,3,10,8,
36,9,3,10,8,
37,9,3,10,5,
38,9,3,10,5,
39,9,3,10,5,
40,7,3,10,7,
41,4,3,10,4,
42,9,3,10,5,
43,9,3,10,8,
44,7,3,10,7,
45,9,3,10,8,
46,7,3,10,7,
47,9,3,10,5,
48,9,3,10,5,
49,7,3,10,7,
51,7,3,10,7,
52,9,3,10,5,
53,9,3,10,5,
54,9,3,10,5,
55,4,3,10,4,
56,4,3,10,4,
57,4,3,10,4,
58,4,3,10,4,
59,9,3,10,5,
60,4,3,10,4,
61,9,3,10,5,
62,7,3,10,7,
63,4,3,10,4,
65,4,3,10,4,
66,4,3,10,4,
67,9,3,10,5,
69,7,3,10,7,
70,9,3,10,5,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,1,3,2,1,
86,1,3,2,1,
87,1,3,2,1,
88,1,3,2,1,
89,1,3,2,1,
90,6,3,10,6,
91,1,3,2,1,
92,1,3,2,1,
93,1,3,2,1,
94,1,3,2,1,
95,7,3,2,7,
97,1,3,2,1,
98,2,3,2,2,
99,4,3,2,4,
100,4,3,10,4,
101,1,3,2,1,
102,1,3,2,1,
103,1,3,2,1,
104,1,3,2,1,
105,1,3,2,1,
106,1,3,2,1,
107,6,3,10,6,
109,6,3,10,6,
110,6,3,10,6,
114,6,3,10,6,
115,6,3,10,6,
120,6,3,10,6,
121,6,3,10,6,
123,6,3,10,6,
124,6,3,10,6,
125,6,3,10,6,
129,6,3,10,6,
131,4,3,10,4,
133,4,3,10,4,
134,6,3,10,6,
135,6,3,10,6,
138,1,3,2,1,
140,1,3,2,1,
142,1,3,2,1,
143,1,3,2,1,
146,1,3,2,1,
147,1,3,2,1,
148,1,3,2,1,
152,1,3,2,1,
154,6,3,10,6,
155,1,3,2,1,
156,6,3,10,6,
157,6,3,10,6,
158,6,3,10,6,
161,6,3,10,6,
162,6,3,10,6,
164,6,3,10,6,
165,6,3,10,6,
166,6,3,10,6,
168,6,3,10,6,
170,6,3,10,6,
173,6,3,10,6,
174,6,3,10,6,
175,4,3,10,4,
176,4,3,10,4,
178,6,3,10,6,
180,6,3,10,6,
181,6,3,10,6,
182,6,3,10,6,
183,6,3,10,6,
184,6,3,10,6,
185,6,3,10,6,
186,6,3,10,6,
187,6,3,10,6,
188,6,3,10,6,
189,6,3,10,6,
190,6,3,10,6,
191,6,3,10,6,
196,6,3,10,6,
203,4,3,10,4,
208,9,3,10,5,
210,9,3,10,8,
211,9,3,10,5,
212,9,3,10,5,
213,4,3,10,4,
214,9,3,10,5,
215,9,3,10,5,
216,9,,,,
217,9,3,10,8,
218,9,3,10,8,
219,9,3,10,8,
220,9,3,10,8,
221,4,3,10,4,
222,9,3,10,5,
223,9,3,10,8,
224,9,3,10,8,
225,9,3,10,8,
226,9,3,10,5,
227,9,3,10,8,
228,9,3,10,8,
229,9,3,10,8,
230,9,3,10,8,
231,9,3,10,8,
232,9,3,10,8,
233,7,3,10,7,
234,7,3,10,7,
235,4,3,10,4,
236,7,3,10,7,
237,9,3,10,5,
238,9,3,10,5,
239,9,3,10,5,
240,6,3,10,6,
241,6,3,10,6,
242,6,3,10,6,
243,6,3,10,6,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,6,3,10,6,
265,1,3,2,1,
266,6,3,10,6,
267,1,3,2,1,
268,1,3,2,1,
269,6,3,10,6,
270,1,3,2,1,
272,6,3,10,6,
273,9,3,10,5,
274,6,3,10,6,
275,6,3,10,6,
276,6,3,10,6,
279,1,3,2,1,
280,4,3,10,4,
281,6,3,10,6,
282,6,3,10,6,
283,6,3,10,6,
284,6,3,10,6,
286,9,3,10,5,
287,6,3,10,6,
288,6,3,10,6,
289,6,3,10,6,
291,6,3,10,6,
